Date,Title,Attendees,URL,Source,GPX,Start,End,Distance
2024-03-09,Nature near London - The only moat in Middlesex (10 miles + up to 8.5 more),122.0,299480822,Free,gpx\07\9th March.gpx,Stanmore,Paddington (H&C Line),31080
2024-03-02,Every Civilization has its Cradle - 15 (or 11) miles,68.0,299281290,Free,gpx\07\KIts Coty 2nd March 2024.gpx,Maidstone East,Maidstone East,20727
2024-02-24,Gentleman Johnny's Greensand Jolly - 15 miles,71.0,299158644,Free,gpx\01\10828306574.gpx,Sandy,Sandy,24418
2024-02-17,Flour & Flower (15 miles),148.0,299041512,Free,gpx\01\10781572468.gpx,Harpenden,Harpenden,22981
2024-02-10,Sunset on the Beach near Zone 6 (14 miles),104.0,298721750,Free,gpx\01\10735478380.gpx,Chorleywood,Northwood Hills,22697
2024-02-04,The Highest Pint from Zone 6 (14 miles),105.0,298698713,Free,gpx\03\04-02-2024.gpx,Caterham,Upper Warlingham,23436
2024-01-27,Chilterne Langley (15 miles),125.0,298469682,Free,gpx\01\10641248499.gpx,Kings Langley,Kings Langley,23190
2024-01-20,Thor's high place to Animal Farm (16 miles),71.0,298404560,Free,gpx\01\10596041245.gpx,Royston,Baldock,24519
2024-01-13,O'er hills hides Smugglers Creek (15 miles),101.0,298153797,Free,gpx\07\Stanford-le-HopeFobbing Circular.gpx,Stanford-le-Hope,Stanford-le-Hope,23431
2024-01-06,Otford's Mount & a Viking flight (12 or 14 miles),118.0,298020618,Free,gpx\03\06-01-2024.gpx,Shoreham (Kent),Otford,18723
2023-12-17,Festive walk to free Ukrainian carols in Trafalgar Square (5 miles),58.0,297799106,Free,gpx\04\Holland_Park_to_Trafalgar_Square_time-corrected.gpx,Holland Park,Charing Cross,8145
2023-12-16,Verulanium Saturnalia with Festive Market & Carols (16 or 10.5 miles),90.0,297678132,Free,gpx\03\16-12-2023.gpx,Welwyn Garden City,Hatfield (Herts),30101
2023-12-10,Christmas Party walk (15 or 10 miles),129.0,297632761,Free,gpx\02\10360533652-snipped.gpx,Tottenham Hale,Edgware Road (Circle Line),27418
2023-12-02,Delightful Denham (14 miles),100.0,297482095,Free,gpx\01\10317287879.gpx,West Ruislip,Northwood,20416
2023-11-25,The Chiltern hills of Sarratt (14 miles),110.0,297338395,Free,gpx\01\10280311204.gpx,Chorleywood,Chorleywood,22199
2023-11-19,Epping's end of Autumn Colours (13-14 miles),124.0,297194708,Free,gpx\02\10246775038.gpx,Chingford,Waltham Cross,21240
2023-11-11,Salamander's Hill (14 miles),141.0,297136583,Free,gpx\02\10201010961.gpx,Farncombe,Guildford,23768
